Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2021,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10481,0,0,0
2021,122409,San Diego State University,115100,1,Main Campus,36484,1,4,1
2021,122597,San Francisco State University,115400,1,Main Campus,26899,0,1,0
2021,122755,San Jose State University,115500,1,Main Campus,37133,1,2,0
2021,123572,Sonoma State University,115600,1,Sonoma State University,7371,1,0,0
2022,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22000,1,3,0
2022,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6025,0,1,0
2022,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,27503,0,1,0
2022,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,849,0,0,0
2022,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,849,0,0,0
2022,110486,California State University-Bakersfield,799300,1,Main Campus,9613,0,0,1
2022,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6128,0,0,0
2022,110538,California State University-Chico,114600,1,Main Campus,14183,0,0,0
2022,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,14183,0,0,0
2022,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16426,0,0,0
2022,110574,California State University-East Bay,113800,1,Main Campus,13673,1,0,0
2022,110556,California State University-Fresno,114700,1,Main Campus,23999,0,0,0
2022,110565,California State University-Fullerton,113700,1,Main Campus,40386,1,0,0
2022,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40386,0,0,0
2022,110583,California State University-Long Beach,113900,1,Main Campus,38973,1,2,0
2022,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26460,0,0,0
2022,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7045,1,0,0
2022,110608,California State University-Northridge,115300,1,California State University- Northridge,37579,0,0,0
2022,110617,California State University-Sacramento,115000,1,Sacramento State,31818,0,0,0
2022,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19803,1,2,0
2022,366711,California State University-San Marcos,3011300,1,Main Campus,15109,0,0,0
2022,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10154,0,0,0
2022,122409,San Diego State University,115100,1,Main Campus,37402,1,1,0
2022,122597,San Francisco State University,115400,1,Main Campus,25282,1,0,0
2022,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,25282,0,0,0
2022,122755,San Jose State University,115500,1,Main Campus,35751,0,5,0
2022,123572,Sonoma State University,115600,1,Sonoma State University,6637,0,0,0
2023,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22485,0,1,1
2023,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6156,2,2,0
2023,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26848,0,0,0
2023,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,805,0,0,0
2023,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,805,0,0,0
2023,110486,California State University-Bakersfield,799300,1,Main Campus,9787,0,0,0
2023,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,5688,0,2,0
2023,110538,California State University-Chico,114600,1,Main Campus,14523,1,6,0
2023,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,14523,0,0,0
2023,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,15181,0,1,0
2023,110574,California State University-East Bay,113800,1,Main Campus,13333,0,0,0
2023,110556,California State University-Fresno,114700,1,Main Campus,23986,0,0,0
2023,110565,California State University-Fullerton,113700,1,Main Campus,41962,0,0,0
2023,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,41962,0,0,0
2023,110583,California State University-Long Beach,113900,1,Main Campus,40278,0,1,0
2023,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,25080,0,1,0
2023,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,6742,0,0,0
2023,110608,California State University-Northridge,115300,1,California State University- Northridge,37760,0,0,0
2023,110617,California State University-Sacramento,115000,1,Sacramento State,31172,0,0,0
2023,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,18925,1,3,0
2023,366711,California State University-San Marcos,3011300,1,Main Campus,15431,1,1,0
2023,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,9841,0,0,0
2023,122409,San Diego State University,115100,1,Main Campus,39241,0,1,1
2023,122597,San Francisco State University,115400,1,Main Campus,23908,0,0,0
2023,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,23908,0,0,0
2023,122755,San Jose State University,115500,1,Main Campus,36062,1,8,0
2023,123572,Sonoma State University,115600,1,Sonoma State University,5990,0,1,0
