Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Category of Fire,Cause of Fire,Fire-related injuries,Fire-related deaths,Property damage
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,Classico,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Cooking,0,0,$0-$99
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,Fume Blanc,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Cooking,0,0,$0-$99
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,Traminer,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Open flames,0,0,$0-$99
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,Pinot,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Cooking,0,0,$0-$99
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,Merlot,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Cooking,0,0,$0-$99
2016,123572,Sonoma State University,115600,1,Sonoma State University,9323,Rhone,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Cooking,0,0,$0-$99
2017,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22370,Cerro Morro,Building 170-A,Unintentional,Cooking,0,0,$0-$99
2017,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22370,Cerro Cabrillo,Building 170-B,Unintentional,Cooking,0,0,$0-$99
2017,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22370,Aliso,Building 171-A,Unintentional,Open flames,0,0,$0-$99
2017,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22370,Gypsum,Building 171-G,Unintentional,Cooking,0,0,$0-$99
2017,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8525,Alder Hall,280 Canyon Fire Ln,Unintentional,Cooking,0,0,$0-$99
2017,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8525,Cypress Hall,271 Granite Ave,Unintentional,Machinery/Industrial,0,0,$0-$99
2017,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8525,Cypress Hall,271 Granite Ave,Unintentional,Other,0,0,$0-$99
2017,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,8525,Trinity Hall,1681 Rossow St,Unintentional,Cooking,0,0,$0-$99
2017,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26053,Univ. Village-Bldg. 135,"3400 Poly Vista Pomona, CA 91768",Unintentional,Cooking,0,0,$0-$99
2017,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26053,Univ. Village-Bldg. 135,"3400 Poly Vista Pomona, CA 91768",Unintentional,Cooking,0,0,$100-$999
2017,110486,California State University-Bakersfield,799300,1,Main Campus,10131,Student Housing East,"8501 Stockdale Hwy. Bakersfield, Ca 93311",Unintentional,Other,0,0,$0-$99
2017,110538,California State University-Chico,114600,1,Main Campus,17875,Konkow Hall,701 W. Sacramento Ave,Unintentional,Other,0,0,$100-$999
2017,110556,California State University-Fresno,114700,1,Main Campus,25325,Baker Hall,5158 N Barton Ave,Intentional,Paper door tag burned.,0,0,$0-$99
2017,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7584,Yarrow Hall,"3053 Divarty Street, Seaside,",Unintentional,Cooking,0,0,$0-$99
2017,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7584,Strawberry Apartments,6013 General Jim Moore Bouleva,Unintentional,Cooking,0,0,$0-$99
2017,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7584,Vinyard Suites,6015 General Jim Moore Bouleva,Unintentional,Cooking,0,0,$0-$99
2017,110608,California State University-Northridge,115300,1,California State University- Northridge,41319,UPA-1 Chantreral Hall,17950 Lassen Street,Unintentional,Cooking,0,0,$0-$99
2017,110608,California State University-Northridge,115300,1,California State University- Northridge,41319,UPA-8 Baybery Hall,17950 Lassen Street,Unintentional,Cooking,0,0,$0-$99
2017,110617,California State University-Sacramento,115000,1,Sacramento State,31255,Upper Eastside Lofts,"6400 Folsom Blvd, Sacramento",Unintentional,Electrical,0,0,"$1,000-$9,999"
2017,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20692,University Village #8,1577 Northpark Blvd.,Unintentional,Electrical,0,0,$100-$999
2017,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10327,Residential Life Village 1,One University Circle,Unintentional,Other,0,0,"$1,000-$9,999"
2017,122409,San Diego State University,115100,1,Main Campus,35158,Granada Apartments,"5525 Hardy Ave., San Diego CA",Unintentional,Cooking,0,0,$100-$999
2017,122409,San Diego State University,115100,1,Main Campus,35158,Zapotec Apartments,"5450 55th St., San Diego CA. 9",Unintentional,Electrical,0,0,$100-$999
2017,122597,San Francisco State University,115400,1,Main Campus,29758,Village at Centennial Square,"750 Font Blvd, San Francisco",Unintentional,Cooking,0,0,"$100,000-$249,999"
2017,122597,San Francisco State University,115400,1,Main Campus,29758,Village at Centennial Square,"750 Font Blvd, San Francisco",Unintentional,Cooking,0,0,"$250,000-$499,999"
2017,122597,San Francisco State University,115400,1,Main Campus,29758,University Park North,"15 Buckingham Way, San Francisco",Unintentional,Smoking materials,0,0,$0-$99
2017,122755,San Jose State University,115500,1,Main Campus,35835,Campus Village Bldg B,350 S. 9th St.,Unintentional,Cooking,0,0,$100-$999
2017,123572,Sonoma State University,115600,1,Sonoma State University,9481,Sirah,"1801 East Cotati Ave. Rohnert Park, CA 94928",Unintentional,Electrical,0,0,$100-$999
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,Yosemite Hall 8,Building 114-J,Unintentional,Electrical,0,0,$0-$99
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,Cerro Morro,Building 170-A,Unintentional,Cooking,0,0,$0-$99
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,Aliso,Building 171-A,Unintentional,Cooking,0,0,$0-$99
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,Dover,Building 171-D,Unintentional,Cooking,0,0,$0-$99
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,Gypsum,Building 171-G,Unintentional,Cooking,0,0,$0-$99
2018,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22013,Huasna,Building 171-H,Unintentional,Open flames,0,0,$0-$99
