Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking
2022,122597,San Francisco State University,115400,1,Main Campus,25282,4,0,9
2022,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,25282,0,0,0
2022,122755,San Jose State University,115500,1,Main Campus,35751,26,0,2
2022,123572,Sonoma State University,115600,1,Sonoma State University,6637,0,1,6
2023,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22485,9,0,43
2023,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6156,2,0,1
2023,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26848,0,0,0
2023,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,805,0,0,0
2023,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,805,0,0,0
2023,110486,California State University-Bakersfield,799300,1,Main Campus,9787,1,0,0
2023,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,5688,6,0,6
2023,110538,California State University-Chico,114600,1,Main Campus,14523,2,0,5
2023,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,14523,0,0,0
2023,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,15181,2,5,1
2023,110574,California State University-East Bay,113800,1,Main Campus,13333,0,0,0
2023,110556,California State University-Fresno,114700,1,Main Campus,23986,2,0,1
2023,110565,California State University-Fullerton,113700,1,Main Campus,41962,2,0,11
2023,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,41962,0,0,0
2023,110583,California State University-Long Beach,113900,1,Main Campus,40278,0,0,0
2023,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,25080,1,3,5
2023,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,6742,11,0,8
2023,110608,California State University-Northridge,115300,1,California State University- Northridge,37760,11,0,0
2023,110617,California State University-Sacramento,115000,1,Sacramento State,31172,7,0,4
2023,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,18925,3,0,1
2023,366711,California State University-San Marcos,3011300,1,Main Campus,15431,11,0,2
2023,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,9841,0,4,2
2023,122409,San Diego State University,115100,1,Main Campus,39241,0,0,1
2023,122597,San Francisco State University,115400,1,Main Campus,23908,3,0,4
2023,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,23908,0,0,0
2023,122755,San Jose State University,115500,1,Main Campus,36062,8,0,2
2023,123572,Sonoma State University,115600,1,Sonoma State University,5990,3,0,0
