Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2019,110565,California State University-Fullerton,113700,1,Main Campus,40445,0,22,63
2019,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40445,0,0,0
2019,110583,California State University-Long Beach,113900,1,Main Campus,38674,0,0,18
2019,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26671,0,37,0
2019,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7650,2,18,39
2019,110608,California State University-Northridge,115300,1,California State University- Northridge,39910,2,79,59
2019,110617,California State University-Sacramento,115000,1,Sacramento State,31992,0,19,1
2019,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,20638,0,1,16
2019,366711,California State University-San Marcos,3011300,1,Main Campus,16053,1,54,23
2019,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10974,0,0,5
2019,122409,San Diego State University,115100,1,Main Campus,35544,0,205,856
2019,122597,San Francisco State University,115400,1,Main Campus,29032,1,1,2
2019,122755,San Jose State University,115500,1,Main Campus,36085,1,41,342
2019,123572,Sonoma State University,115600,1,Sonoma State University,8887,2,6,1
2020,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22440,1,0,20
2020,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6612,0,21,1
2020,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,30014,0,5,35
2020,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,952,0,0,15
2020,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,952,0,0,0
2020,110486,California State University-Bakersfield,799300,1,Main Campus,11745,0,2,12
2020,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,7446,0,12,9
2020,110538,California State University-Chico,114600,1,Main Campus,16746,0,13,0
2020,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,16746,0,0,0
2020,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,18687,0,0,0
2020,110574,California State University-East Bay,113800,1,Main Campus,16253,0,0,0
2020,110556,California State University-Fresno,114700,1,Main Campus,25497,0,0,0
2020,110565,California State University-Fullerton,113700,1,Main Campus,42051,0,51,124
2020,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,42051,0,0,0
2020,110583,California State University-Long Beach,113900,1,Main Campus,40069,0,0,0
2020,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26745,0,0,0
2020,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7409,0,1,5
2020,110608,California State University-Northridge,115300,1,California State University- Northridge,40381,0,22,2
2020,110617,California State University-Sacramento,115000,1,Sacramento State,32293,0,2,0
2020,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19689,0,8,13
2020,366711,California State University-San Marcos,3011300,1,Main Campus,16367,3,18,1
2020,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,11163,0,2,0
2020,122409,San Diego State University,115100,1,Main Campus,36334,1,45,398
2020,122597,San Francisco State University,115400,1,Main Campus,27349,0,0,0
2020,122755,San Jose State University,115500,1,Main Campus,36208,0,20,0
2020,123572,Sonoma State University,115600,1,Sonoma State University,8018,2,0,6
2021,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22231,0,0,2
2021,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,5908,0,29,0
2021,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,29456,0,11,25
2021,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,925,0,4,23
2021,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,925,0,0,3
2021,110486,California State University-Bakersfield,799300,1,Main Campus,10972,0,0,0
2021,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6966,0,8,44
2021,110538,California State University-Chico,114600,1,Main Campus,15702,0,0,0
2021,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,15702,0,0,0
2021,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,17837,2,8,1
2021,110574,California State University-East Bay,113800,1,Main Campus,15189,0,0,0
2021,110556,California State University-Fresno,114700,1,Main Campus,25047,0,0,0
2021,110565,California State University-Fullerton,113700,1,Main Campus,40738,0,12,1
2021,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40738,0,0,0
2021,110583,California State University-Long Beach,113900,1,Main Campus,40190,5,0,6
2021,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27513,1,5,42
2021,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7503,0,2,5
2021,110608,California State University-Northridge,115300,1,California State University- Northridge,40108,0,7,0
2021,110617,California State University-Sacramento,115000,1,Sacramento State,32498,0,4,0
2021,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19514,1,4,2
2021,366711,California State University-San Marcos,3011300,1,Main Campus,16255,2,4,2
2021,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10481,0,0,0
2021,122409,San Diego State University,115100,1,Main Campus,36484,3,98,444
2021,122597,San Francisco State University,115400,1,Main Campus,26899,0,9,0
2021,122755,San Jose State University,115500,1,Main Campus,37133,0,3,18
2021,123572,Sonoma State University,115600,1,Sonoma State University,7371,1,0,0
2022,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22000,2,0,0
2022,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6025,0,20,1
2022,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,27503,0,8,12
2022,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,849,0,1,33
2022,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,849,0,0,7
2022,110486,California State University-Bakersfield,799300,1,Main Campus,9613,0,0,6
2022,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,6128,0,7,3
2022,110538,California State University-Chico,114600,1,Main Campus,14183,1,1,0
2022,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,14183,0,0,0
2022,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,16426,0,1,2
2022,110574,California State University-East Bay,113800,1,Main Campus,13673,0,0,0
2022,110556,California State University-Fresno,114700,1,Main Campus,23999,0,0,0
2022,110565,California State University-Fullerton,113700,1,Main Campus,40386,2,3,0
2022,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,40386,0,0,0
2022,110583,California State University-Long Beach,113900,1,Main Campus,38973,8,1,5
2022,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,26460,0,42,0
2022,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7045,0,5,0
2022,110608,California State University-Northridge,115300,1,California State University- Northridge,37579,0,4,8
2022,110617,California State University-Sacramento,115000,1,Sacramento State,31818,0,12,1
2022,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,19803,0,0,0
2022,366711,California State University-San Marcos,3011300,1,Main Campus,15109,1,30,6
2022,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,10154,1,1,0
2022,122409,San Diego State University,115100,1,Main Campus,37402,10,148,749
2022,122597,San Francisco State University,115400,1,Main Campus,25282,0,58,0
2022,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,25282,0,0,0
2022,122755,San Jose State University,115500,1,Main Campus,35751,0,5,3
2022,123572,Sonoma State University,115600,1,Sonoma State University,6637,4,4,0
2023,110422,California Polytechnic State University-San Luis Obispo,114300,1,Main Campus,22485,1,1,0
2023,115755,California State Polytechnic University-Humboldt,114900,1,Cal Poly Humboldt,6156,0,80,0
2023,110529,California State Polytechnic University-Pomona,114400,1,Main Campus,26848,0,12,1
2023,111188,California State University Maritime Academy,113400,1,California State University Maritime Academy,805,1,1,32
2023,111188,California State University Maritime Academy,113400,2,The Training Ship Golden Bear,805,0,0,10
2023,110486,California State University-Bakersfield,799300,1,Main Campus,9787,0,0,0
2023,441937,California State University-Channel Islands,3980300,1,California State University Channel Islands - Main Campus,5688,0,10,2
2023,110538,California State University-Chico,114600,1,Main Campus,14523,0,0,2
2023,110538,California State University-Chico,114600,2,Agricultural Teaching and Research Center/University Farm,14523,0,0,0
2023,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,15181,1,7,3
2023,110574,California State University-East Bay,113800,1,Main Campus,13333,0,2,0
2023,110556,California State University-Fresno,114700,1,Main Campus,23986,0,0,0
2023,110565,California State University-Fullerton,113700,1,Main Campus,41962,0,6,10
2023,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,41962,0,0,0
2023,110583,California State University-Long Beach,113900,1,Main Campus,40278,5,7,4
2023,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,25080,0,12,0
2023,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,6742,1,38,5
2023,110608,California State University-Northridge,115300,1,California State University- Northridge,37760,0,3,11
2023,110617,California State University-Sacramento,115000,1,Sacramento State,31172,1,21,0
2023,110510,California State University-San Bernardino,114200,1,California State University- San Bernardino,18925,0,4,0
2023,366711,California State University-San Marcos,3011300,1,Main Campus,15431,0,20,5
2023,110495,California State University-Stanislaus,115700,1,CSU Stanislaus - Turlock,9841,0,5,32
2023,122409,San Diego State University,115100,1,Main Campus,39241,0,269,774
2023,122597,San Francisco State University,115400,1,Main Campus,23908,0,30,0
2023,122597,San Francisco State University,115400,3,The Estuary & Ocean Science Center,23908,0,0,0
2023,122755,San Jose State University,115500,1,Main Campus,36062,2,41,10
2023,123572,Sonoma State University,115600,1,Sonoma State University,5990,5,1,0
